timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/07/30 00:53:30.644, 0 %, 0 %, 0 MiB, 88.04 W
2026/07/30 00:53:31.649, 0 %, 0 %, 0 MiB, 88.24 W
2026/07/30 00:53:32.651, 0 %, 0 %, 1 MiB, 88.11 W
2026/07/30 00:53:33.673, 0 %, 0 %, 558 MiB, 131.21 W
2026/07/30 00:53:34.675, 4 %, 0 %, 846 MiB, 134.55 W
2026/07/30 00:53:35.675, 4 %, 0 %, 846 MiB, 133.52 W
2026/07/30 00:53:36.676, 2 %, 0 %, 846 MiB, 133.49 W
2026/07/30 00:53:37.677, 5 %, 0 %, 846 MiB, 134.51 W
2026/07/30 00:53:38.678, 5 %, 0 %, 846 MiB, 134.18 W
2026/07/30 00:53:39.679, 3 %, 0 %, 846 MiB, 133.73 W
2026/07/30 00:53:40.680, 5 %, 0 %, 846 MiB, 133.91 W
2026/07/30 00:53:41.681, 4 %, 0 %, 846 MiB, 134.22 W
2026/07/30 00:53:42.682, 4 %, 0 %, 846 MiB, 134.03 W
2026/07/30 00:53:43.683, 4 %, 0 %, 846 MiB, 133.98 W
2026/07/30 00:53:44.685, 4 %, 0 %, 846 MiB, 134.50 W
2026/07/30 00:53:45.687, 4 %, 0 %, 846 MiB, 133.91 W
2026/07/30 00:53:46.687, 4 %, 0 %, 846 MiB, 134.44 W
2026/07/30 00:53:47.688, 4 %, 0 %, 846 MiB, 133.75 W
2026/07/30 00:53:48.689, 3 %, 0 %, 846 MiB, 133.70 W
2026/07/30 00:53:49.690, 2 %, 0 %, 846 MiB, 134.14 W
2026/07/30 00:53:50.692, 0 %, 0 %, 3 MiB, 135.61 W
2026/07/30 00:53:51.694, 0 %, 0 %, 3 MiB, 138.87 W
2026/07/30 00:53:52.697, 2 %, 0 %, 556 MiB, 138.61 W
2026/07/30 00:53:53.699, 0 %, 0 %, 868 MiB, 134.82 W
2026/07/30 00:53:54.700, 6 %, 0 %, 868 MiB, 135.38 W
2026/07/30 00:53:55.702, 4 %, 0 %, 868 MiB, 135.21 W
2026/07/30 00:53:56.704, 0 %, 0 %, 866 MiB, 134.86 W
